PK,NOMBRE,DESCRIPCION-ENTIDAD,HORARIO,EQUIPAMIENTO,TRANSPORTE,DESCRIPCION,ACCESIBILIDAD,CONTENT-URL,DIRECCION,TIPO-NUM,CODIGO-POSTAL,COD-BARRIO,BARRIO,COD-DISTRITO,DISTRITO,COORDENADA-X,COORDENADA-Y,LATITUD,LONGITUD,TELEFONO,EMAIL,TIPO
4676668,Sala Moby Dick,,,"Estilos: Indie, Pop, Rock.","Metro: Santiago Bernabeu (línea 10).  Bus: 5, 149.  Bicimad: Estación 154 (calle Orense, 36).  Aparcamiento: General Yag&amp;uuml;e (28), Avenida Brasil, 15.",,Sin información sobre accesibilidad para personas con movilidad reducida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e2c1f1480bbe5110VgnVCM1000000b205a0aRCRD,AVENIDA BRASIL 5,V,28020,2,CUATRO CAMINOS,6,TETUAN,441155,4478434,40.454.491.539.123.400,-36.939.946.298.354.200,915 557 671,mobydickclub@mobydickclub.com,"AuditoriosSalasConcierto"
4682195,Residencia Municipal de Mayores con Alzheimer 'Margarita Retuerto',,De lunes a domingo (Se recomienda no realizar visitas durante el horario de comidas y de descanso),"Alojamiento y atención especializada, integral a personas mayores con Alzheimer u otras demencias.","Metro: L2 y L5 (Ventas) Bus: 53, 74",Información Complementaria:  Estar empadronado en el Municipio de Madrid. Ser mayor de 60 años. Padecer enfermedad de Alzheimer u otra demencia. Presentar una situación socio-familiar y limitación de su autonomía personal que le impida seguir viviendo en su domicilio.  Plazas: 90.,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=377c55c5b1516110VgnVCM1000000b205a0aRCRD,CALLE FRANCISCO ALTIMIRAS 4,V,28028,4,GUINDALERA,4,SALAMANCA,443706,4476157,4.043.415.188.174.190,-3.663.711.634.900.410,917 241 448,,"CentrosAtencionSocialMayores/ResidenciasApartamentosMayores"
4684678,Matadero Madrid,Espacios   Matadero Madrid Centro de residencias Intermediae Medialab Cineteca Madrid Nave 10 Matadero Creación Dramática Contemporánea,"Plaza Matadero - Calle Matadero - Placita   Accesos Plaza de Legazpi, Paseo de la Chopera, Madrid Río y Casa del Reloj Horario habitual del Centro Cultural: de lunes a domingo de 9  a 22 horas. A partir de las 22 horas la entrada y salida del recinto se realiza exclusivamente por el acceso de Plaza de Legazpi. Punto de información Paseo de la Chopera,14, lunes a domingo de 9:30 a 21:30 horas.",,"Renfe: Embajadores   Metro: Legazpi (líneas 3, 6)  Bus: 123, 22, 79, 148, 18, 6, 78, 45, 8, 19, 247, 47, 59, 62, 76, 85, 86, 156, 180, T32  Bicimad: Estación 177 (calle Bolívar, 3)",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD,PLAZA LEGAZPI 8,V,28045,3,CHOPERA,2,ARGANZUELA,440946,4471422,4.039.130.985.242.180,-36.958.028.442.054.000,913 184 670,info@mataderomadrid.org,"SalasExposiciones"
4684794,Centro Deportivo Municipal Pabellón Villa de Madrid,,"Horario de uso de las instalaciones deportivas   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.",Equipamientos    Unidades deportivas cubiertas: 1 pista polivalente y 1 sala de esgrima.  Ayudas ténicas para la accesibilidad: 1 ascensor.  Columna de rescate cardíaco,"Bus: 105 , 112 , 114 , 115 , 151",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6e67668e4a336110VgnVCM1000000b205a0aRCRD,CALLE BREZOS 6,V,28042,1,ALAMEDA DE OSUNA,21,BARAJAS,450054,4479144,4.046.145.708.324.950,-35.891.069.291.726.100,913 294 219 (CDM  Barajas),idmbarajas@madrid.es,"CentrosEspaciosDeporte/Gimnasios"
4689313,Escuela Infantil El Bebé,,,,"Bus:82, 83, 133",Enseñanza: Educación infantil,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=595c945978756110VgnVCM1000000b205a0aRCRD,CALLE ISLAS MASCAREÑAS 11,V,28035,3,PEÑA GRANDE,8,FUENCARRAL-EL PARDO,438019,4481307,4.048.014.047.012.410,-37.312.716.011.805.800,91 316 50 94,elbebe1966@telefonica.net,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4689360,Escuela Infantil De Peques,,,,"Bus: 14, 32, 63, 10, 56, 156 Metro: Conde Casal",Enseñanza: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a0a730c9e9756110VgnVCM1000000b205a0aRCRD,CALLE WALIA 7,V,28007,6,NIÑO JESUS,3,RETIRO,442995,4473207,4.040.752.823.629.680,-3.671.841.205.579.260,915 514 433,depeques@depeques.es,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4689476,Escuela Infantil La Casita de Kika,,,,"Bus:108, 118, 247, 47  Metro: Abrantes",Enseñanza: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ed7e66ac9c756110VgnVCM1000000b205a0aRCRD,CALLE ALFONSO MARTINEZ CONDE 2,V,28025,7,ABRANTES,11,CARABANCHEL,438127,4470491,40.380.831.831.397.500,-37.302.084.356.205.500,91 565 94 53,lacasitadekika@yahoo.es,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4689660,Escuela Infantil Iris,,,,"Bus: 73, 120, 122, 322  Metro: Esperanza",Enseñanza: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0c8eeccb20856110VgnVCM1000000b205a0aRCRD,CALLE CALANDA 14,V,28043,3,CANILLAS,16,HORTALEZA,445416,4479124,4.046.099.412.130.090,-3.643.818.591.045.760,91 388 28 76,escuelairis@telefonica.net,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4689826,Escuela Infantil Andal II,,,,"BUS: 14 , 32 , 56 , 63 , 143  METRO: Conde Casal",ENSEÑANZA: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d8b6f7e881c56110VgnVCM1000000b205a0aRCRD,CALLE FRANCISCO VITORIA 21,V,28007,6,NIÑO JESUS,3,RETIRO,442939,4473219,4.040.763.257.078.570,-36.724.904.388.404.900,"91 552 32 29&amp;#13;
91 501 62 00",,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4689857,Escuela Infantil Andal I,,,,"BUS: 14 , 32 , 56 , 63 , 143  METRO: Conde Casal",ENSEÑANZA: Educación infantil (Primer y 2&amp;ordm; Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cc36d8fb52c56110VgnVCM1000000b205a0aRCRD,CALLE FRANCISCO VITORIA 4,V,28007,6,NIÑO JESUS,3,RETIRO,442810,4473289,404.082.543.166.119,-3.674.016.955.095.660,91 501 62 00,,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4689875,Escuela Infantil Colores Saltarines,,,,"Bus: 34, 35, 108, 118, 55  Metro: Oporto",Enseñanza: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=490f478d53c56110VgnVCM1000000b205a0aRCRD,CALLE VALLE DE ORO 10,V,28019,2,OPAÑEL,11,CARABANCHEL,438064,4471081,4.038.802.401.144.610,-372.974.413.799.101,914 719 130,coloressaltarines@gmail.com,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4690849,Colegio Público Álvaro de Bazan,,,Horario ampliado - Comedor - Integración prefernete (Trastornos generales del desarrollo),"Bus: 4, 106, 140, 153",ENSEÑANZA: Educación infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=eb583058a6166110VgnVCM1000000b205a0aRCRD,CALLE ZURICH 10,V,28022,5,ROSAS,20,SAN BLAS-CANILLEJAS,448486,4474724,4.042.154.331.046.480,-3.607.241.921.623.860,917 757 114,cp.alvarodebazan.madrid@educa.madrid.org,"CentrosEducacion/ColegiosPublicos"
4690940,Colegio Público Winston Churchill,,,Horario ampliado - Comedor,"Bus: 4, 100 Metro: Puerta de Arganda",ENSEÑANZA: Educación infantil - Primaria,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d3875f9fa7166110VgnVCM1000000b205a0aRCRD,AVENIDA GRAN VIA DEL ESTE 5,V,28032,1,CASCO H.VICALVARO,19,VICALVARO,449484,4472655,404.029.655.566.785,-3.595.313.927.334.030,913 716 066 - 676 695 332,cp.winstonchurchill.madrid@educa.madrid.org,"CentrosEducacion/ColegiosPublicos"
4692403,Colegio Ártica,,,,"METRO: La Peseta BUS: 35, 155",ENSEÑANZA: Educación Infantil (Primer y segundo ciclo)- Primaria - ESO - Bachillerato (Humanidades y Ciencias Sociales - Ciencias y Tecnología) - Enseñanza biling&amp;uuml;e,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=52254aaf73766110VgnVCM1000000b205a0aRCRD,CALLE MORALES 25,V,28054,6,BUENAVISTA,11,CARABANCHEL,435797,4468055,40.360.583.854.186.700,-37.561.469.709.080.000,915 112 615,secretaria.artica@jrotero.es,"CentrosEducacion/ColegiosPrivadosConcertados"
4693116,Escuela Infantil Pequeños Bichitos,,,,"Bus: 17, 31, 121  Metro: Eugenia de Montijo",Enseñanza: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4a285ee38db66110VgnVCM1000000b205a0aRCRD,CALLE OCAÑA 12,V,28047,4,ALUCHE,10,LATINA,435944,4470670,4.038.416.123.548.580,-3.754.678.714.030.120,914 618 490 - 679 572 073,,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4693125,Escuela Infantil Cadi Centro de Atención y Desarrollo Infantil,,,,"Bus: 134, 178",Enseñanza: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82505ee38db66110VgnVCM1000000b205a0aRCRD,AVENIDA SANTUARIO DE VALVERDE 11,V,28049,8,EL GOLOSO,8,FUENCARRAL-EL PARDO,440066,4484138,4.050.579.344.149.900,-3.707.378.577.201.480,917 509 062,,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4693126,Escuela Infantil Los Cucos,,,,"Bus: 89, 101",Enseñanza: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fdf05ee38db66110VgnVCM1000000b205a0aRCRD,CALLE SOTO HIDALGO 2,V,28042,1,ALAMEDA DE OSUNA,21,BARAJAS,450773,4478878,4.045.910.369.850.010,-35.806.061.978.132.100,91 329 41 48,grupoloscucos@gmail.com,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4693138,Colegio Público Agustín Rodriguez Sahagún,,,Horario ampliado - Comedor - Planes de mejora,Bus: 142,ENSEÑANZA: Educacion Infantil - Primaria - Enseñanza biling&amp;uuml;e,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=706c615f4eb66110VgnVCM1000000b205a0aRCRD,CALLE LA GRANJA DE SAN ILDEFONSO 17,V,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,447178,4468793,4.036.803.998.494.370,-36.221.677.428.793.900,913 324 348,,"CentrosEducacion/ColegiosPublicos"
4693282,Escuela Infantil Pequeña Gaia,,,,Bus: 85,Enseñanza: Educación infantil (Primer Ciclo),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=42eef08f92c66110VgnVCM1000000b205a0aRCRD,CALLE BERROCAL 72,V,28021,3,BUTARQUE,17,VILLAVERDE,442635,4465827,4.034.102.010.633.880,-36.754.195.301.701.400,630 340 938,pequegaia.ei@gmail.com,"CentrosEducacion/EscuelasInfantilesPrivadasGuarderias"
4693693,Colegio Valdefuentes,,,Transporte - Horario ampliado - Comedor,BUS: 150,ENSEÑANZA: Educación Infantil (Primer y segundo Ciclo) - Primaria - ESO - Bachillerato (Humanidades y Ciencias Sociales - Ciencias ) - Enseñanza biling&amp;uuml;e,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=4113a07318c66110VgnVCM1000000b205a0aRCRD,CALLE ANA DE AUSTRIA 6,V,28050,6,VALDEFUENTES,16,HORTALEZA,443634,4482463,40.490.945.359.486.700,-3.665.132.261.364.930,902 252 292 - 917 188 229,info@colegiovaldefuentes.es,"CentrosEducacion/ColegiosPrivadosConcertados"
4694243,Colegio GSD Las Suertes,,,,"Metro: Las Suertes Bus: 142, 145","Enseñanzas impartidas: - Educación Infantil (Primer y Segundo Ciclo) - Primaria - ESO - BACHILLERATO (Humanidades y Ciencias Sociales - Ciencias) - Formación Profesional de Grado Medio: Gestión Administrativa - Conducción de Actividades Físico-Deportivas en el Medio Natural. - Formación Profesional, Ciclo Formativo de Grado Superior: Acondicionamiento físico, Educación infantil, Administración y Finanzas, Enseñanza y animación socio-deportiva. - Curso preparatorio prueba acceso Grado Superior. Centro biling&amp;uuml;e español-inglés.",0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8fc4ef68c1b76110VgnVCM1000000b205a0aRCRD,CALLE RAFAEL DE LEON 10,V,28051,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,449022,4468563,4.036.607.370.900.150,-3.600.442.517.029.480,913 853 505 - 917 861 347,lassuertes@gsdeducacion.com,"CentrosEducacion/CentrosFormacionProfesionalPrivadosConcertados"
4701740,Escuela Infantil Palmas Palmitas,,,,"Bus: 172, 176",ENSEÑANZA: Educación infantil (de 0 a 3 años),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1e82704fcb4a6110VgnVCM1000000b205a0aRCRD,CALLE SAN JUAN DE ORTEGA S/N 0,V,28050,6,VALVERDE,8,FUENCARRAL-EL PARDO,443093,4483731,40.502.340.113.837.200,-36.716.296.507.477.300,914 273 077,,"CentrosEducacion/EscuelasInfantilesPublicas"
4701827,Centro Deportivo Municipal Miguel Guillén Prim,,"Horario de uso de las instalaciones deportivas:   Para saber el horario de apertura de las distintas instalaciones del centro deportivo, les rogamos lo consulten con el propio centro.  Horario de taquilla   De lunes a viernes, de 9 a 21 horas. Sábados, domingos y festivos, cerrado.   Cierre completo del Centro   Mes agosto y durante los días 24, 25 y 31 de diciembre, 1 de enero y 1 de mayo.","Clases y escuelas deportivas    Infantiles (6 a 14 años, según modalidades): fútbol sala y taekwondo.  Jóvenes y personas adultas   (21 a 64 años): acondicionamiento físico deportivo y musculación.    Mayores de 65 años:   actividad física.     Equipamientos      Superficie total de las instalaciones:   8.400 metros cuadrados.  Unidades deportivas al aire libre: campos de fútbol-7 de césped artificial.    Unidades deportivas cubiertas: pabellón polideportivo y sala de musculación.    Oficina de promoción deportiva:  responsable de la coordinación de Juegos Deportivos Municipales, Torneos y Circuitos Municipales, Copas de Primavera. Además, ofrece información sobre las escuelas de promoción deportiva.   Ayudas técnicas para la accesibilidad:   instalación adaptada.    Columna rescate cardíaco.","Bus:  54, 103, 142.  Metro: Congosto.  Renfe: Vallecas.  Bicicleta:  el centro dispone de  aparca bicicletas exterior  con capacidad para 10 bicicletas.    Servicio Bicimad, para consultar la estación más cercana, acceda al mapa de geolocalización de las estaciones .",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ecd237c71d4a6110VgnVCM1000000b205a0aRCRD,CALLE FUENTIDUEÑA 6,V,28031,1,CASCO H.VALLECAS,18,VILLA DE VALLECAS,447099,4469435,4.037.381.855.452.160,-3.623.151.468.598.150,913 053 451,idmmguillen@madrid.es,"CentrosEspaciosDeporte/Gimnasios"
4701865,Escuela Infantil Sol Solito,,,Horario ampliado - Comedor,"Metro: Montecarmelo Bus: 134, 178",ENSEÑANZA: Educación infantil (de 0 a 3 años),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d28d5f09dd4a6110VgnVCM1000000b205a0aRCRD,CALLE MONASTERIO DE GUADALUPE 9,V,28049,8,EL GOLOSO,8,FUENCARRAL-EL PARDO,440422,4484230,4.050.664.785.016.740,-37.031.857.994.820.700,917 508 879,,"CentrosEducacion/EscuelasInfantilesPublicas"
4701888,Escuela Infantil-Casa de Niños El Señor don Gato,,,,"Bus: 8, 71, 130",Enseñanzas:  Educación Infantil (Primer ciclo) Programa Casa de Niños,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=30387f1d7e4a6110VgnVCM1000000b205a0aRCRD,CALLE POETAS S/N 0,V,28032,1,CASCO H.VICALVARO,19,VICALVARO,446925,4472003,40.396.932.732.253.100,-3.625.414.854.510.770,670 939 547,eei.elsenordongato.madrid@educa.madrid.org,"CentrosEducacion/EscuelasInfantilesPublicas"
4701983,Escuela Infantil Grumete Madrid,,,,"Bus: 7, 29, 107",ENSEÑANZA: Educación infantil (de 0 a 3 años),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=1bc598b53f4a6110VgnVCM1000000b205a0aRCRD,CALLE SERRANO GALVACHE 1,V,28033,9,COSTILLARES,15,CIUDAD LINEAL,443386,4480286,4.047.132.618.787.690,-3.667.852.382.970.600,913 836 922,,"CentrosEducacion/EscuelasInfantilesPublicas"
4702058,Escuela Infantil Bularas INIA,,,,"Bus: 162, I",ENSEÑANZA: Educación infantil (de 0 a 3 años),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=d87b2961c05a6110VgnVCM1000000b205a0aRCRD,"AVENIDA PADRE HUIDOBRO (CARRETERA CORUÑA KM 7,5) 0",V,28040,3,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,437063,4478379,,,913 473  586,,"CentrosEducacion/EscuelasInfantilesPublicas"
4702887,Escuela Infantil Centro de Primer Ciclo de E.I. de la Univ. Complutense,,,,"Bus: G, I, U, 82, 83, 132, 133, 162 Metro: Ciudad Universitaria",ENSEÑANZA: Educación infantil (de 0 a 3 años),0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fb306fb7079a6110VgnVCM1000000b205a0aRCRD,AVENIDA PUERTA DE HIERRO 0,V,28040,3,CIUDAD UNIVERSITARIA,9,MONCLOA-ARAVACA,437639,4477680,4.044.742.985.473.590,-37.353.862.214.813.300,913 944 031,,"CentrosEducacion/EscuelasInfantilesPublicas"
4703422,Centro Cultural San Francisco La Prensa (Carabanchel),,"De lunes a jueves, de 10 a 13 y de 16:30 a 18 horas. Viernes, de 10 a 13 horas. Julio, de lunes a jueves, de 10 a 13 horas, Agosto cerrado.  Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",Sala de exposiciones Salón de actos / auditorio (aforo 216 personas) 6 aulas  Zona wifi 2 gimnasios,Metro: San Francisco (línea 11)  Bus: 108,,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=5787e842ec9a6110VgnVCM1000000b205a0aRCRD,CALLE ALISEDA 4,V,28025,5,PUERTA BONITA,11,CARABANCHEL,437044,4469856,4.037.691.447.788.010,-37.416.256.113.806.800,914 284 911,ccprensa@madrid.es,"CentrosCulturales"
4703628,Centro Cultural Fernando Lázaro Carreter (Carabanchel),,"De lunes a jueves, de 10 a 13 y de 16:30 a 18 horas. Viernes, de 10 a 13 horas. Julio, de lunes a viernes, de 10 a 13 horas. Semana de San Isidro, de lunes a viernes, de 10 a 13 horas.  Agosto y festivos, cerrado.   Fuera de este horario el centro permanecerá abierto durante la celebración de las actividades que se programen.",Sala de exposiciones Sala de lectura y estudio Salón de actos / auditorio (aforo 238 personas) 10 aulas Zona wifi,"Metro: Marqués de Vadillo (línea 5), Plaza Elíptica (línea 6 y 11)  Bus: 116",,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=340ed2d6fe9a6110VgnVCM1000000b205a0aRCRD,CALLE VERDAD 29,V,28019,2,OPAÑEL,11,CARABANCHEL,439136,4471474,4.039.164.455.403.760,-3.717.137.582.860.070,914 690 895,cclazaro@madrid.es,"CentrosCulturales"
4703662,Centro Juvenil Carabanchel Alto,"Mira la programación mensual de cada uno de los centros juveniles, encontrarás talleres, teatro, actividades, cesiones de espacios para tu música o tus ensayos, exposiciones; además Wifi gratuito, oficinas de información juvenil y un montón de cosas interesantes. Información sobre las actividades y cesión de espacios: Correo:  actividadescarabanchel@gmail.com   Teléfono de contacto: 914006417 Teléfono: 915118980 Consulta la programación aquí  Para inscribirte en la actividad que más te guste cumplimenta y envía este formulario.","Horario de apertura del centro: de lunes a viernes de 10 a 14:30 horas y de 15:30 a 21 horas. Los sábados de 11 a 21 horas.  Horario de atención al público: lunes y sábado de 13 a 14:30 horas y de 15:30 a 21 horas. Los martes, miércoles, jueves y viernes de 10 a 14 horas y de 15:30 a 21 horas.   Cierres para 2023: 1 y 6 de enero, 20 de marzo, 6, 7 y 8 de abril, 1, 2 y 15 de mayo, TODO EL MES DE AGOSTO, 12 de octubre, 1 y 9 de noviembre, 6, 8, 24, 25 y 31 de diciembre.  El centro permanecerá cerrado todos los domingos.",Salas de ensayo 3 aulas Sala polivalente,Metro: La Peseta (línea 11) Bus: 35 y 47,,Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2565d2d6fe9a6110VgnVCM1000000b205a0aRCRD,CALLE ALFONSO FERNANDEZ 23,V,28044,6,BUENAVISTA,11,CARABANCHEL,435861,4468746,40.366.822.704.148.700,-3.755.451.103.709.310,91 4006417 Móvil/WhatsApp: 636 04 55 86,cjcarabanchel@centrosjuvenilesmadrid.com,"OficinasInformacionJuvenil"
4706011,Oficina de Atención a la Ciudadanía.(OAC) Carabanchel. Línea Madrid,"Las Oficinas de Atención a la Ciudadanía de Línea Madrid son equipamientos del Ayuntamiento de Madrid en los que se puede solicitar información sobre la ciudad y realizar múltiples gestiones, requiriendo alguna de ellas de cita previa. Se puede solicitar cita a través de los siguientes canales de Línea Madrid:   En Línea: accediendo al sistema municipal de cita previa y posteriormente seleccionando la gestión deseada.  Telefónico: a través del teléfono gratuito 010, si llama desde la ciudad de Madrid, o del 914 800 010, si llama desde la ciudad de Madrid o desde fuera (se factura como cualquier otra llamada al municipio de Madrid, en función de las tarifas que tenga contratado el abonado llamante). Ambos teléfonos están operativos las 24 horas del día, los 7 días de la semana, los 365 días del año.  Redes sociales:   'X' (antiguoTwitter) @Lineamadrid.   Messenger de Facebook @Lineamadrid .    Chat en línea pulsando el icono &amp;ldquo;Chat on line Línea Madrid&amp;rdquo; que encontrará flotando en esta misma página.  Presencialmente en cualquiera de las Oficinas de Atención a la Ciudadanía.  Está prohibido el acceso de animales de compañía Esta oficina cuenta con las siguientes ayudas de accesibilidad para personas con dificultades especiales:","Días laborables:  Lunes a jueves, de 8:30 a 17 horas. Viernes de 8:30 a 14 horas.   Julio y agosto: lunes a viernes de 8:30 a 14 horas.  Avisos: Cerrada los sábados y los días 24 y 31 de diciembre. Los sábados no hay ningún registro abierto.  El último tique podrá expedirse 15 minutos antes del horario de cierre, a fin de poder atender a todas las personas en espera. Atención en otros idiomas y lenguaje de signos ver apartado Servicios.","Atención en otros idiomas:    Lengua de signos española e inglés: 8:30 a 17 horas.  Rumano, árabe y chino mandarín: 8:30 a 14:15 horas.   Zona wifi.","Metro: Vistalegre (línea 5)  Bus: 34, 35",,"Accesible,Lengua de signos,Bucle de inducción magnético",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c8fa5a18b3c6110VgnVCM1000000b205a0aRCRD,CALLE UTEBO 8,V,28025,4,VISTA ALEGRE,11,CARABANCHEL,437305,4470969,40.386.962.506.825.900,-37.386.530.020.939.600,No se proporciona información telefónica. El teléfono de atención a la ciudadanía es el 010 (desde fuera del municipio de Madrid: 914 800 010),,"AyuntamientoMadrid/OficinasMunicipalesRegistro"
4706188,Colegio Británico Todo Niños Nursery School,Centro docente extranjero en España,,,"Bus: 7, 16, 19, 51 Metro: República Dominicana",Enseñanzas:  Primer ciclo de Educación Infantil Extranjero,0,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=8c9e0c76ae3c6110VgnVCM1000000b205a0aRCRD,CALLE SERRANO 163,V,28002,1,EL VISO,5,CHAMARTIN,442010,4477709,40.448.007.498.389.200,-36.838.478.779.595.900,914 116 979 - 914 110 571,info@todoninos.es,
4706191,Centro Municipal de Mayores Pablo Casals,,"Lunes a domingo, de 9:30 a  20:30 horas.","Se ofrecen servicios de animación sociocultural, podología, peluquería, prensa, biblioteca, wifi, y se desarrollan talleres y actividades socioculturales, de expresión corporal, formativas, culturales,  artísticas y recreativas.","Metro: Simancas (línea 7), San Blas (línea 7)  Bus: 38, 48,165, 167, N6","Requisitos para ser socio:  Ser titular de la tarjeta madridmayor.es. Para solicitar esta tarjeta vea la información relacionada. Los Centros Municipales de Mayores son equipamientos de Servicios Sociales No Residenciales, destinados a promover la convivencia de los mayores, propiciando la participación y la integración social.",Accesible,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6eb2ba228f3c6110VgnVCM1000000b205a0aRCRD,CALLE POBLADURA DEL VALLE 13,V,28037,3,AMPOSTA,20,SAN BLAS-CANILLEJAS,447439,4475240,4.042.612.627.597.500,-36.196.258.294.576.600,917 609 807,,"CentrosAtencionSocialMayores/CentrosMayores"
